AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;971899199;3844.149847371273;;;
2;971899204;;3841.3178473712733;0.0;
2;971902799;3796.599820399206;;;
2;971902804;;3793.767820399206;0.0;
2;971906399;3680.4491907583906;;;
2;971906404;;3677.6171907583907;0.0;
2;971909999;3671.7585550024864;;;
2;971910004;;3668.9265550024866;0.0;
2;971913599;3736.451447358045;;;
2;971913604;;3733.619447358045;0.0;
2;971917199;3760.528405889973;;;
2;971917204;;3757.696405889973;0.0;
2;971920799;3962.1598659391316;;;
2;971920804;;3959.3278659391317;0.0;
2;971924399;4000.3641007074025;;;
2;971924404;;3997.5321007074026;0.0;
2;971927999;3941.013446213948;;;
2;971928004;;3938.181446213948;0.0;
2;971931599;3934.573859287644;;;
2;971931604;;3931.7418574378416;0.0;
2;971935199;3997.61621569205;;;
2;971935204;;3890.044972500914;0.0;
2;971938799;4104.849372180522;;;
2;971938804;;3839.8390702675033;0.0;
2;971942399;4116.926941002451;;;
2;971942404;;3751.4507259880997;0.0;
2;971945999;3920.209981128145;;;
2;971946004;;3534.2591903181183;0.0;
2;971949599;3592.4091752285017;;;
2;971949604;;3199.8353422317073;0.0;
2;971953199;3181.813053620954;;;
2;971953204;;2828.6793923707205;0.0;
2;971956799;2868.4124424799165;;;
2;971956804;;2568.2545789443147;0.0;
2;971960399;2518.065339989392;;;
2;971960404;;2278.567501928765;0.0;
2;971963999;2169.9251297636315;;;
2;971964004;;2007.516497081125;0.0;
2;971967599;1668.4083182330235;;;
2;971967604;;1600.933713365429;0.0;
2;971971199;1310.5361475296636;;;
2;971971204;;1307.5604086985454;0.0;
2;971974799;1106.6036453323097;;;
2;971974804;;1103.7716453323096;0.0;
2;971978399;860.9082456677924;;;
2;971978404;;858.0762456677924;0.0;
2;971981999;690.4602979052689;;;
2;971982004;;687.6282979052689;0.0;
2;971985599;565.063524114448;;;
2;971985604;;562.231524114448;0.0;
2;971989199;664.1574870158701;;;
2;971989204;;661.3254870158701;0.0;
2;971992799;768.0373640772486;;;
2;971992804;;765.2053640772486;0.0;
2;971996399;886.5931631078042;;;
2;971996404;;883.7611631078042;0.0;
2;971999999;937.8399018920369;;;
2;972000004;;935.0079018920369;0.0;
2;972003599;1045.1900696494588;;;
2;972003604;;1042.3580696494587;0.0;
2;972007199;1154.2254157229506;;;
2;972007204;;1151.3934157229505;0.0;
2;972010799;1165.7292668180482;;;
2;972010804;;1162.8972668180481;0.0;
2;972014399;972.5074781595022;;;
2;972014404;;969.6754781595022;0.0;
2;972017999;1024.671998364961;;;
